rank,call_freq,name,type,layer,nelisp_coverage
247,188,quote,special,runtime,source-unbootstrapped
248,186,parse-partial-sexp,fn,runtime,MISSING
249,184,natnump,fn,runtime,MISSING
250,184,buffer-local-value,fn,substrate/ui,MISSING
251,179,fset,fn,runtime,MISSING
252,174,process-send-string,fn,substrate/ui,MISSING
253,174,float-time,fn,runtime,MISSING
254,173,get-char-property,fn,runtime,MISSING
255,171,documentation,fn,runtime,MISSING
256,170,widget-apply,fn,substrate/ui,MISSING
257,170,get-file-buffer,fn,substrate/ui,MISSING
258,170,file-name-absolute-p,fn,runtime,MISSING
259,169,logior,fn,runtime,source-unbootstrapped
260,167,current-time,fn,runtime,MISSING
261,166,set-default,fn,runtime,MISSING
262,166,char-syntax,fn,substrate/ui,MISSING
263,165,markerp,fn,substrate/ui,MISSING
264,163,process-mark,fn,substrate/ui,MISSING
265,160,window-start,fn,substrate/ui,MISSING
266,158,treesit-node-start,fn,substrate/ui,MISSING
267,158,remove-text-properties,fn,substrate/ui,MISSING
268,155,string<,fn,runtime,MISSING
269,153,delete-process,fn,runtime,MISSING
270,152,forward-comment,fn,substrate/ui,MISSING
271,152,exp,fn,runtime,MISSING
272,150,move-overlay,fn,substrate/ui,MISSING
273,149,string-width,fn,runtime,MISSING
274,149,define-coding-system-alias,fn,substrate/ui,MISSING
275,149,call-process,fn,runtime,MISSING
276,145,beep,fn,runtime,MISSING
277,144,treesit-node-type,fn,substrate/ui,MISSING
278,143,skip-syntax-backward,fn,substrate/ui,MISSING
279,142,time-less-p,fn,runtime,MISSING
280,142,atom,fn,runtime,source-unbootstrapped
281,140,vconcat,fn,runtime,source-unbootstrapped
282,133,pos-visible-in-window-p,fn,substrate/ui,MISSING
283,131,skip-syntax-forward,fn,substrate/ui,MISSING
284,131,line-number-at-pos,fn,runtime,MISSING
285,130,keymapp,fn,substrate/ui,MISSING
286,126,key-binding,fn,substrate/ui,MISSING
287,126,buffer-base-buffer,fn,substrate/ui,MISSING
288,125,set-window-start,fn,substrate/ui,MISSING
289,125,file-writable-p,fn,runtime,MISSING
290,125,error-message-string,fn,runtime,source-unbootstrapped
291,124,round,fn,runtime,source-unbootstrapped
292,124,remhash,fn,runtime,source-unbootstrapped
293,123,random,fn,runtime,MISSING
294,122,local-variable-p,fn,substrate/ui,MISSING
295,121,key-description,fn,runtime,MISSING
296,121,encode-coding-string,fn,substrate/ui,source-unbootstrapped
297,121,capitalize,fn,runtime,source-unbootstrapped
298,118,set-keymap-parent,fn,substrate/ui,MISSING
299,117,rename-file,fn,runtime,MISSING
300,116,string-to-syntax,fn,substrate/ui,MISSING
301,116,keywordp,fn,runtime,source-unbootstrapped
302,115,save-current-buffer,special,substrate/ui,source-unbootstrapped
303,114,set-text-properties,fn,substrate/ui,MISSING
304,114,overlayp,fn,substrate/ui,MISSING
305,114,decode-coding-string,fn,substrate/ui,source-unbootstrapped
306,113,frame-live-p,fn,substrate/ui,MISSING
307,112,run-hook-with-args-until-success,fn,substrate/ui,MISSING
308,112,accept-process-output,fn,substrate/ui,MISSING
309,111,window-parameter,fn,substrate/ui,MISSING
310,111,user-login-name,fn,runtime,MISSING
311,111,self-insert-command,fn,substrate/ui,MISSING
312,111,select-frame,fn,substrate/ui,MISSING
313,109,rassq,fn,runtime,MISSING
314,109,char-equal,fn,runtime,MISSING
315,108,set-char-table-range,fn,runtime,MISSING
316,108,read-char,fn,runtime,MISSING
